Nr,Tweets,bow
309,"['friday', 'devotional', 'john', 'aisha', 'darwesh']","[(255, 1), (256, 1), (257, 1), (258, 1), (259, 1)]"
311,"['thomasfinesse', 'persons', 'character']","[(260, 1), (261, 1), (262, 1)]"
316,"['soghomon', 'tehlirian', 'assassinated', 'talat', 'pasha', 'armenian', 'genocide']","[(263, 1), (264, 1), (265, 1), (266, 1), (267, 1), (268, 1), (269, 1)]"
319,"['luis', 'welcome']","[(210, 1), (211, 1)]"
320,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
321,"['luis', 'welcome']","[(210, 1), (211, 1)]"
323,"['girls', 'story']","[(28, 1), (29, 1)]"
326,"['james', 'harden', 'lebron', 'shook']","[(198, 1), (199, 1), (200, 1), (201, 1)]"
329,['asia'],"[(202, 1)]"
331,"['stendo', 'playboi', 'carti']","[(203, 1), (204, 1), (205, 1)]"
332,"['adhd', 'awareness', 'health', 'nutrition']","[(206, 1), (207, 1), (208, 1), (209, 1)]"
333,"['luis', 'welcome']","[(210, 1), (211, 1)]"
334,"['rough', 'time']","[(76, 1), (212, 1)]"
335,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
337,"['drake', 'album']","[(213, 1), (214, 1)]"
338,"['boys', 'remix']","[(215, 1), (216, 1)]"
343,['couldn'],"[(217, 1)]"
344,"['lindsayjuff', 'cold', 'deep', 'dark', 'dangerous', 'truth']","[(124, 1), (218, 1), (219, 1), (220, 1), (221, 1), (222, 1)]"
347,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
350,['houston'],"[(131, 1)]"
352,"['morning', 'hope']","[(223, 1), (224, 1)]"
353,"['girls', 'story']","[(28, 1), (29, 1)]"
354,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
355,"['killswitchkatie', 'reverb', 'iron']","[(225, 1), (226, 1), (227, 1)]"
358,"['school', 'final', 'exam', 'jesus', 'girl']","[(161, 1), (162, 1), (163, 1), (164, 1), (165, 1)]"
360,"['birthday', 'month', 'babies']","[(44, 1), (128, 1), (166, 1)]"
362,"['page', 'paper']","[(173, 1), (174, 1)]"
363,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
366,['college'],"[(270, 1)]"
368,['abchouston'],"[(271, 1)]"
371,['pepper'],"[(272, 1)]"
373,"['record', 'fight']","[(273, 1), (274, 1)]"
374,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
376,"['lady', 'ranicorn', 'adventure', 'time', 'ranicorn', 'type', 'language']","[(76, 1), (125, 1), (275, 1), (276, 1), (277, 1), (278, 2)]"
377,['blue'],"[(279, 1)]"
378,"['blackkout', 'mind', 'childr']","[(280, 1), (281, 1), (282, 1)]"
379,['kids'],"[(283, 1)]"
380,"['proper', 'grammar']","[(284, 1), (285, 1)]"
383,"['wave', 'time']","[(76, 1), (77, 1)]"
388,"['jjwatt', 'practice']","[(286, 1), (287, 1)]"
389,"['march', 'february']","[(288, 1), (289, 1)]"
390,['twitter'],"[(27, 1)]"
391,['dispatch'],"[(290, 1)]"
392,"['father', 'times']","[(244, 1), (291, 1)]"
393,"['game', 'bruh']","[(292, 1), (293, 1)]"
394,"['morning', 'hope']","[(223, 1), (224, 1)]"
396,['jonnyco'],"[(228, 1)]"
397,"['nicki', 'wowww']","[(229, 1), (230, 1)]"
398,"['chess', 'player', 'chess', 'piece']","[(71, 2), (72, 1), (73, 1)]"
399,"['james', 'harden', 'playoff', 'series', 'klay', 'thompson', 'kevin', 'durant', 'andre', 'iguodala']","[(198, 1), (199, 1), (231, 1), (232, 1), (233, 1), (234, 1), (235, 1), (236, 1), (237, 1), (238, 1)]"
401,"['time', 'door', 'shockedddd']","[(76, 1), (239, 1), (240, 1)]"
402,"['agent', 'provacatuer', 'submissions']","[(241, 1), (242, 1), (243, 1)]"
406,"['times', 'hard']","[(83, 1), (244, 1)]"
408,"['called', 'beyonc', 'culture', 'vulture']","[(245, 1), (246, 1), (247, 1), (248, 1)]"
409,"['slow', 'dark', 'contact']","[(220, 1), (249, 1), (250, 1)]"
410,"['brivtz', 'cryinggggg']","[(251, 1), (252, 1)]"
411,"['deathreggies', 'white']","[(253, 1), (254, 1)]"
412,"['friday', 'devotional', 'john', 'aisha', 'darwesh']","[(255, 1), (256, 1), (257, 1), (258, 1), (259, 1)]"
414,"['thomasfinesse', 'persons', 'character']","[(260, 1), (261, 1), (262, 1)]"
419,"['soghomon', 'tehlirian', 'assassinated', 'talat', 'pasha', 'armenian', 'genocide']","[(263, 1), (264, 1), (265, 1), (266, 1), (267, 1), (268, 1), (269, 1)]"
422,"['luis', 'welcome']","[(210, 1), (211, 1)]"
423,"['incoming', 'freshman', 'online', 'semester', 'community']","[(8, 1), (9, 1), (10, 1), (11, 1), (12, 1)]"
424,"['luis', 'welcome']","[(210, 1), (211, 1)]"
426,"['girls', 'story']","[(28, 1), (29, 1)]"
429,"['james', 'harden', 'lebron', 'shook']","[(198, 1), (199, 1), (200, 1), (201, 1)]"
432,['asia'],"[(202, 1)]"
434,"['stendo', 'playboi', 'carti']","[(203, 1), (204, 1), (205, 1)]"
435,"['adhd', 'awareness', 'health', 'nutrition']","[(206, 1), (207, 1), (208, 1), (209, 1)]"
436,"['luis', 'welcome']","[(210, 1), (211, 1)]"
437,"['rough', 'time']","[(76, 1), (212, 1)]"
438,"['nefarious', 'stuff', 'trump', 'flynn', 'presid']","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1)]"
440,"['drake', 'album']","[(213, 1), (214, 1)]"
442,"['justinreid', 'bruh']","[(292, 1), (294, 1)]"
444,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
445,['aiokona'],"[(295, 1)]"
448,['demiaa'],"[(296, 1)]"
450,"['midlife', 'crisis']","[(297, 1), (298, 1)]"
451,['tommey'],"[(299, 1)]"
452,['russian'],"[(300, 1)]"
454,"['astasiawill', 'love']","[(301, 1), (302, 1)]"
455,"['billion', 'cancer', 'victims', 'baby', 'powder', 'product']","[(196, 1), (303, 1), (304, 1), (305, 1), (306, 1), (307, 1)]"
457,"['congress', 'washington', 'debating']","[(49, 1), (50, 1), (51, 1)]"
459,"['carver', 'school', 'tommy', 'tune', 'awards', 'event', 'april', 'theater', 'stars', 'faceb']","[(165, 1), (308, 1), (309, 1), (310, 1), (311, 1), (312, 1), (313, 1), (314, 1), (315, 1), (316, 1)]"
